Name,Link
"Jacobs, Abraham",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=34653
"Jacobs, William",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=33598
"Jacobson, Emanuel",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=7679
"Jacomb-Hood, George Percy",https://web.archive.org/web/20121007172910/http://www.nga.gov/cgi-bin/tsearch?artistid=4436
Jacopino del Conte,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5899
Jacopo da Empoli,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5667
Jacopo di Cione,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5528
Jacopo di Giovanni di Francesco,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=21667
"Jacopo of Orvieto, identified with",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=2177
"Jacopo of Urbino, identified with",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=2177
"Jacovleff, Alexandre",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=12041
"Jacquard, Antoine",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4438
"Jacque, Charles Émile",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4439
"Jacque, Maurice",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4440
"Jacquemart, Jules-Ferdinand",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4441
Jacques d'Anchin,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5508
Jacques de Nivelles,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=5509
"Jacquet, Alain",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=10416
"Jacquet, Nicolas-Gabriel",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=2135
"Jacquette, Yvonne",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=6859
"Jaeckel, Willy",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4442
"Jäger, Bernhard",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=25831
Jaki,https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4443
"James, Frederic",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=33599
"James, John",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=21478
"Jamieson, Mitchell",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=4445
"Jammers, Hendrik Frans",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=3928
"Jammes, André",https://web.archive.org/web/20121010194620/http://www.nga.gov/cgi-bin/tsearch?artistid=32736
